Student ID,Gender,Counselor,ELL Status,Double Math,FRPL Status,Grade Level,Home Language,Date of Birth,Race/Ethnicity,Transfer Student,Special Education Status
2250049,Female,Natalie Eich,No,,Free,10,Spanish,3/4/2007,Hispanic,No,No
2260052,Male,Natalie Eich,Yes,,Free,9,Spanish,3/20/2008,Hispanic,Yes,No
2250051,Female,Natalie Eich,No,,Free,10,Spanish,1/29/2007,Hispanic,No,No
2250052,Male,Natalie Eich,No,Yes,Free,10,English,10/22/2006,Hispanic,No,No
2250053,Male,Natalie Eich,Yes,,Paid,10,Spanish,9/7/2006,Hispanic,No,No
2240053,Female,Natalie Eich,No,,Paid,11,Spanish,4/27/2006,Hispanic,No,No
2250054,Female,Natalie Eich,Yes,,Free,10,Spanish,12/28/2006,Hispanic,No,No
2230045,Male,Natalie Eich,No,,Free,12,English,5/3/2005,Hispanic,No,No
4250055,Female,Natalie Eich,No,Yes,Paid,10,English,10/10/2006,Hispanic,No,No
2260053,Female,Natalie Eich,No,,Free,9,English,11/5/2007,Hispanic,Yes,No
2260054,Female,Natalie Eich,No,,Paid,9,English,1/4/2008,Hispanic,Yes,No
2260055,Female,Natalie Eich,Yes,,Free,9,English,4/25/2008,Hispanic,Yes,Yes
2251001,Female,Natalie Eich,No,,Free,10,English,2/1/2007,Hispanic,No,No
2250056,Male,Natalie Eich,Yes,,Free,10,Spanish,8/3/2006,Hispanic,No,No
2260056,Female,Natalie Eich,No,Yes,Free,9,Spanish,11/11/2007,Hispanic,Yes,No
2250070,Male,Natalie Eich,Yes,,Free,10,Spanish,8/3/2006,Hispanic,No,Yes
2260058,Female,Natalie Eich,No,,Free,9,English,11/17/2007,Hispanic,Yes,No
2240056,Male,Natalie Eich,No,,Reduced,11,English,3/3/2006,Hispanic,No,No
2240994,Female,Natalie Eich,No,,Paid,11,English,11/20/2005,Black or African American,No,No
2260059,Female,Natalie Eich,No,Yes,Free,9,English,12/2/2007,Hispanic,Yes,No
2260060,Female,Natalie Eich,No,,Free,9,English,10/31/2007,Hispanic,Yes,No
2260061,Female,Natalie Eich,No,,Free,9,English,6/25/2008,Hispanic,Yes,No
2241112,Male,Natalie Eich,No,,Free,11,English,1/23/2006,Hispanic,Yes,No
2240059,Male,Natalie Eich,No,,Free,11,English,8/29/2006,Hispanic,No,No
2240061,Male,Natalie Eich,No,,Free,11,English,9/14/2005,Hispanic,No,No
2250058,Female,Natalie Eich,No,,Free,10,Spanish,7/28/2007,Hispanic,No,No
2260975,Female,Erika Martinez,Yes,,Free,9,Spanish,7/3/2008,Hispanic,No,No
2250060,Male,Natalie Eich,No,,Free,10,Spanish,3/14/2007,Hispanic,No,No
2260063,Male,Natalie Eich,Yes,Yes,Free,9,Spanish,11/11/2007,Hispanic,No,No
2240065,Female,Natalie Eich,No,,Reduced,11,Ewe,12/7/2005,Black or African American,No,No
2260064,Male,Natalie Eich,Yes,Yes,Free,9,Spanish,10/25/2006,Hispanic,Yes,No
2240069,Female,Natalie Eich,No,,Reduced,11,Spanish,1/27/2006,Hispanic,No,No
2250063,Male,Natalie Eich,Yes,Yes,Paid,10,French,8/3/2007,Black or African American,No,No
2260067,Male,Natalie Eich,Yes,Yes,Free,9,English,6/9/2008,Hispanic,Yes,No
2250064,Male,Natalie Eich,No,,Paid,10,English,12/4/2006,White,No,No
2260065,Male,Natalie Eich,No,,Paid,9,English,7/1/2008,White,Yes,No
4240447,Female,Natalie Eich,No,,Paid,11,English,9/18/2005,White,No,Yes
2260069,Male,Natalie Eich,No,,Free,9,English,9/16/2007,White,Yes,No
2260070,Female,Natalie Eich,Yes,,Free,9,Spanish,5/15/2008,Hispanic,Yes,No
2250066,Female,Natalie Eich,No,Yes,Free,10,English,2/4/2007,Black or African American,No,Yes
2250067,Male,Natalie Eich,No,,Free,10,English,6/2/2007,White,No,No
2250068,Female,Natalie Eich,No,,Free,10,English,4/20/2007,Hispanic,No,No
2240071,Female,Natalie Eich,No,,Paid,11,English,11/2/2005,Multiracial/Ethnic,No,No
2240939,Female,Natalie Eich,No,,Reduced,11,Spanish,11/28/2005,Hispanic,No,No
2260920,Female,Natalie Eich,No,,Free,9,English,8/23/2008,Black or African American,Yes,Yes
4250068,Female,Natalie Eich,No,,Paid,10,English,4/5/2007,White,No,Yes
2260071,Male,Natalie Eich,No,,Paid,9,English,8/19/2008,White,Yes,No
2230066,Female,Natalie Eich,No,,Free,12,Spanish,2/8/2005,White,No,No
2240074,Male,Natalie Eich,No,,Free,11,Spanish,8/13/2005,Hispanic,No,No
2240076,Female,Natalie Eich,No,Yes,Reduced,11,Spanish,12/7/2005,Hispanic,No,No
2250071,Female,Natalie Eich,No,,Free,10,Spanish,9/23/2006,Hispanic,No,No
2240077,Female,Natalie Eich,No,,Free,11,Spanish,3/20/2006,Hispanic,No,No
2260072,Female,Natalie Eich,Yes,Yes,Free,9,English,2/8/2008,Hispanic,Yes,No
2260073,Female,Natalie Eich,No,,Paid,9,English,9/18/2007,Hispanic,Yes,No
2240078,Male,Natalie Eich,No,,Free,11,Spanish,3/22/2006,Hispanic,No,No
2240079,Female,Natalie Eich,No,,Paid,11,English,12/30/2005,Hispanic,No,No
2250072,Male,Natalie Eich,No,,Free,10,English,8/8/2007,White,No,Yes
4240932,Male,Natalie Eich,No,,Free,11,English,4/4/2006,White,No,No
2240080,Female,Natalie Eich,No,,Free,11,English,4/13/2006,White,No,No
2260074,Female,Natalie Eich,No,,Free,9,English,12/28/2007,White,Yes,No
2260942,Female,Natalie Eich,No,Yes,Free,9,English,4/1/2007,Black or African American,Yes,No
2250073,Male,Natalie Eich,No,,Free,10,English,10/15/2006,Black or African American,No,No
2240940,Male,Natalie Eich,No,,Free,11,English,9/11/2005,White,No,No
2240083,Male,Natalie Eich,No,,Reduced,11,Spanish,4/27/2006,Hispanic,No,No
2250074,Female,Natalie Eich,No,,Free,10,Spanish,4/28/2007,Hispanic,No,No
2240981,Male,Natalie Eich,Yes,,Free,11,Spanish,7/3/2005,Hispanic,No,No
2260075,Male,Natalie Eich,No,Yes,Paid,9,English,6/26/2008,White,Yes,Yes
2250904,Female,Natalie Eich,No,,Free,10,English,10/2/2006,White,No,No
2240084,Female,Natalie Eich,No,,Paid,11,English,12/8/2005,Black or African American,No,Yes
2260076,Female,Natalie Eich,No,,Free,9,English,1/15/2008,Hispanic,Yes,No
2240085,Female,Natalie Eich,No,,Free,11,English,4/8/2006,Hispanic,No,No
2250076,Female,Natalie Eich,No,,Free,10,English,6/14/2007,Black or African American,No,Yes
2240087,Male,Natalie Eich,No,,Free,11,English,8/17/2006,Hispanic,No,No
2260078,Male,Natalie Eich,No,Yes,Free,9,Spanish,10/13/2007,White,Yes,No
4250077,Female,Natalie Eich,No,,Free,10,English,1/5/2007,Hispanic,No,No
2260079,Male,Natalie Eich,Yes,,Free,9,Spanish,4/9/2008,Hispanic,Yes,Yes
2260081,Female,Natalie Eich,Yes,Yes,Free,9,English,4/9/2008,Hispanic,Yes,No
2250078,Male,Natalie Eich,Yes,,Free,10,English,6/24/2007,Hispanic,No,No
2240089,Female,Natalie Eich,No,,Reduced,11,English,1/4/2006,White,No,No
2260080,Male,Natalie Eich,No,Yes,Free,9,English,5/18/2008,White,Yes,Yes
2240092,Male,Natalie Eich,No,,Paid,11,English,11/30/2005,White,No,Yes
2250958,Male,Natalie Eich,No,Yes,Paid,10,English,11/6/2005,White,No,No
2260939,Female,Natalie Eich,No,Yes,Free,9,English,1/27/2008,Hispanic,Yes,No
2250932,Male,Natalie Eich,No,,Paid,10,English,6/12/2007,Black or African American,No,No
2260083,Male,Natalie Eich,Yes,,Free,9,English,5/11/2008,Hispanic,Yes,No
2250080,Male,Natalie Eich,No,,Free,10,Spanish,2/11/2007,Hispanic,No,No
2240093,Male,Natalie Eich,No,,Free,11,Spanish,4/11/2006,Hispanic,No,No
2260003,Male,Natalie Eich,No,,Paid,9,English,1/18/2008,White,Yes,No
2250081,Female,Natalie Eich,No,,Paid,10,English,3/20/2007,Hispanic,No,No
2260085,Female,Natalie Eich,No,,Free,9,English,8/5/2008,Black or African American,Yes,No
2260087,Female,Natalie Eich,No,Yes,Free,9,English,10/17/2007,Hispanic,Yes,No
2250083,Male,Natalie Eich,No,,Free,10,English,4/26/2007,Hispanic,No,No
2250084,Male,Natalie Eich,No,Yes,Paid,10,English,3/18/2007,Hispanic,No,No
2260088,Female,Natalie Eich,No,,Paid,9,English,6/29/2008,Hispanic,Yes,No
2240118,Female,Natalie Eich,No,Yes,Free,11,Spanish,11/30/2005,Hispanic,No,No
2260989,Female,Erika Martinez,Yes,,Free,9,Spanish,4/5/2007,Hispanic,No,No
2250086,Male,Natalie Eich,No,Yes,Free,10,English,3/25/2007,White,No,No
2240096,Female,Natalie Eich,No,,Paid,11,Spanish,6/4/2006,Hispanic,No,No
2260091,Female,Erika Martinez,Yes,,Free,9,Spanish,9/11/2008,Hispanic,Yes,No
2260092,Male,Natalie Eich,No,Yes,Free,9,English,3/2/2008,Hispanic,Yes,No
2240099,Male,Natalie Eich,No,,Free,11,English,3/13/2006,Hispanic,No,Yes
2250089,Male,Natalie Eich,No,,Free,10,Spanish,9/15/2006,Hispanic,No,No
2250090,Male,Natalie Eich,No,,Free,10,English,6/13/2007,Hispanic,No,No
2250091,Male,Natalie Eich,No,,Free,10,English,12/10/2006,White,No,No
2240100,Female,Natalie Eich,No,Yes,Paid,11,English,10/21/2005,White,No,No
2251094,Female,Natalie Eich,No,,Free,10,English,9/19/2006,White,Yes,No
2250092,Female,Natalie Eich,No,,Paid,10,English,9/15/2006,Multiracial/Ethnic,No,Yes
2250093,Male,Natalie Eich,No,,Paid,10,English,2/18/2007,Hispanic,No,No
2260093,Female,Natalie Eich,No,,Paid,9,English,6/6/2008,Hispanic,Yes,No
4240037,Male,Natalie Eich,No,,Free,11,English,10/22/2005,Hispanic,No,No
2260094,Male,Natalie Eich,No,,Free,9,English,2/18/2008,Hispanic,Yes,No
2260095,Male,Natalie Eich,No,Yes,Free,9,English,10/24/2006,Hispanic,Yes,No
2251041,Female,Natalie Eich,No,,Free,10,Spanish,4/19/2007,Hispanic,No,No
2250961,Female,Natalie Eich,No,,Free,10,English,11/16/2006,White,No,No
2240104,Male,Natalie Eich,No,,Free,11,English,9/28/2005,White,No,No
2230091,Female,Natalie Eich,No,,Paid,12,English,11/26/2004,White,No,Yes
2240905,Male,Natalie Eich,No,,Paid,11,English,2/4/2006,White,No,No
2250095,Male,Natalie Eich,No,,Paid,10,Spanish,9/20/2006,Hispanic,No,No
2240902,Male,Natalie Eich,No,,Paid,11,English,6/7/2006,White,No,No
2240934,Male,Natalie Eich,No,,Paid,11,English,6/7/2006,White,No,No
2260096,Male,Natalie Eich,Yes,,Free,9,Spanish,12/18/2007,Hispanic,Yes,No
2230094,Male,Natalie Eich,Yes,,Paid,12,Lao,11/9/2004,Asian or Pacific Islander,No,No
2250096,Female,Natalie Eich,No,,Free,10,English,12/17/2006,Black or African American,No,No
2240106,Male,Natalie Eich,No,,Free,11,English,5/17/2006,Black or African American,No,No
2250097,Female,Natalie Eich,No,,Free,10,English,10/18/2006,Multiracial/Ethnic,No,No
2240107,Female,Natalie Eich,Yes,,Free,11,English,5/15/2006,Hispanic,No,Yes
2260097,Female,Natalie Eich,No,Yes,Free,9,English,5/28/2008,Hispanic,Yes,No
2260098,Female,Natalie Eich,No,Yes,Free,9,English,11/28/2007,Black or African American,Yes,No
2250098,Female,Natalie Eich,No,,Free,10,English,3/4/2007,Black or African American,No,Yes
2251072,Male,Natalie Eich,No,,Free,10,English,9/29/2006,White,Yes,No
2260099,Male,Natalie Eich,No,,Free,9,English,9/24/2007,Black or African American,Yes,Yes
2240108,Male,Natalie Eich,No,,Paid,11,English,9/22/2005,Black or African American,No,No
2240109,Female,Natalie Eich,No,,Free,11,Spanish,4/1/2006,Hispanic,No,No
2250099,Female,Andre Bouey,No,,Free,10,English,3/16/2007,Black or African American,No,No
2250979,Male,Andre Bouey,No,,Free,10,English,7/29/2007,Black or African American,No,Yes
2251081,Female,Andre Bouey,No,,Free,10,English,3/15/2007,Black or African American,Yes,No
2260803,Female,Andre Bouey,No,,Reduced,9,English,8/1/2008,Multiracial/Ethnic,Yes,No
2240113,Female,Andre Bouey,No,,Free,11,English,3/22/2006,Multiracial/Ethnic,No,No
2250103,Male,Andre Bouey,No,,Free,10,English,4/15/2007,White,No,No
2260103,Male,Andre Bouey,No,,Free,9,English,5/6/2008,Hispanic,Yes,No
2240114,Male,Andre Bouey,No,,Free,11,English,9/27/2005,Black or African American,No,No
2240115,Male,Andre Bouey,No,,Paid,11,English,10/25/2005,Black or African American,No,No
2230096,Male,Andre Bouey,No,,Free,12,English,1/31/2005,Black or African American,No,Yes
2250104,Male,Andre Bouey,No,,Reduced,10,English,6/3/2007,Black or African American,No,No
2240941,Male,Andre Bouey,No,,Reduced,11,English,2/8/2006,Black or African American,No,No
2240117,Female,Andre Bouey,No,,Free,11,English,1/27/2005,Black or African American,No,No
2230098,Male,Andre Bouey,No,,Free,12,English,1/13/2005,Hispanic,No,No
2260104,Female,Andre Bouey,No,Yes,Free,9,English,9/1/2008,White,Yes,No
2240095,Female,Andre Bouey,No,,Free,11,English,3/14/2006,Black or African American,No,No
2260105,Female,Andre Bouey,No,,Free,9,English,7/23/2008,White,Yes,No
2250107,Male,Andre Bouey,No,,Free,10,English,8/7/2007,White,No,No
2260106,Male,Andre Bouey,No,,Paid,9,English,1/13/2008,Hispanic,Yes,No
2250108,Female,Andre Bouey,No,,Paid,10,English,5/11/2007,White,No,No
2260906,Male,Andre Bouey,No,Yes,Free,9,English,5/2/2008,Hispanic,Yes,No
2250109,Female,Andre Bouey,No,,Paid,10,English,7/3/2006,White,No,No
2240119,Female,Andre Bouey,No,,Paid,11,English,3/15/2006,White,No,No
2240120,Male,Andre Bouey,No,,Free,10,Spanish,1/5/2006,Hispanic,No,No
2260108,Female,Andre Bouey,No,,Free,9,Spanish,7/3/2008,Hispanic,Yes,No
2240121,Male,Andre Bouey,No,,Paid,11,English,5/16/2006,White,No,No
2230984,Male,Andre Bouey,No,,Free,12,English,11/20/2004,Black or African American,No,Yes
2250110,Female,Andre Bouey,No,Yes,Free,10,English,12/30/2006,Black or African American,No,Yes
2240122,Male,Andre Bouey,No,,Free,11,English,3/17/2006,Black or African American,No,No
2240123,Female,Andre Bouey,No,,Paid,11,English,11/11/2005,White,No,No
2260109,Male,Erika Martinez,Yes,,Free,9,Spanish,1/22/2008,Hispanic,Yes,No
2240091,Male,Andre Bouey,No,Yes,Free,11,English,7/7/2006,White,No,No
2250112,Male,Andre Bouey,No,,Paid,10,English,11/1/2006,Black or African American,No,No
2250113,Male,Andre Bouey,No,,Paid,10,English,3/11/2007,White,No,No
2230105,Female,Andre Bouey,No,,Free,12,Spanish,10/22/2004,Hispanic,No,Yes
2240126,Male,Andre Bouey,No,,Free,11,Spanish,12/19/2005,Hispanic,No,No
2260110,Female,Andre Bouey,No,,Free,9,Spanish,2/13/2008,Hispanic,Yes,No
2250114,Female,Andre Bouey,No,,Free,10,English,7/25/2007,Hispanic,No,No
2260111,Male,Andre Bouey,No,,Free,9,English,4/29/2008,Hispanic,Yes,No
2240127,Female,Andre Bouey,No,,Free,11,Spanish,7/13/2005,Hispanic,No,No
2250115,Male,Andre Bouey,Yes,,Free,10,English,3/5/2007,Hispanic,No,No
2260112,Male,Andre Bouey,No,Yes,Free,9,Spanish,3/17/2008,Hispanic,Yes,No
2240128,Female,Andre Bouey,No,,Free,11,English,1/28/2006,Hispanic,No,No
2240129,Male,Andre Bouey,No,,Paid,11,English,10/20/2005,Black or African American,No,No
2240131,Male,Andre Bouey,No,,Paid,11,English,7/15/2006,Hispanic,No,No
2240132,Male,Andre Bouey,No,,Free,11,English,7/3/2006,Hispanic,No,No
