Department,Course Number,Course Name,Request Type,Grade,StudentNumber
Math,0849F1,Algebra 1,R,9,2260283
Math,0849F2,Algebra 1,R,9,2260283
Math,0861D1,Adv Algebra (2 hr),R,12,2230294
Math,0861D2,Adv Algebra (2 hr),R,12,2230294
Math,0873D1,Geometry (2 hr),R,10,2250307
Math,0873D2,Geometry (2 hr),R,10,2250307
Math,0849F1,Algebra 1,R,9,2260284
Math,0849F2,Algebra 1,R,9,2260284
Math,0849D1,Algebra 1,R,9,2260285
Math,0849D2,Algebra 1,R,9,2260285
Math,0861D2,Adv Algebra (2 hr),E,9,2260285
Math,0861D1,Adv Algebra (2 hr),R,11,2240325
Math,0861D2,Adv Algebra (2 hr),R,11,2240325
Math,0849D1,Algebra 1,R,9,2260281
Math,0849D2,Algebra 1,R,9,2260281
Math,0849D1,Algebra 1,R,9,2260286
Math,0849D2,Algebra 1,R,9,2260286
Math,0849D1,Algebra 1,R,9,2260287
Math,0849D2,Algebra 1,R,9,2260287
Math,0858F2,Algebra 1 Hon,E,12,4231099
Math,0858F1,Algebra 1 Hon,R,9,2260288
Math,0858F2,Algebra 1 Hon,R,9,2260288
Math,0861D2,Adv Algebra (2 hr),R,11,2241120
Math,0873D1,Geometry (2 hr),R,10,2250314
Math,0873D2,Geometry (2 hr),R,10,2250314
Math,0873D1,Geometry (2 hr),R,11,2241042
Math,0873D2,Geometry (2 hr),R,11,2241042
Math,0873D1,Geometry (2 hr),R,10,2250315
Math,0873D2,Geometry (2 hr),R,10,2250315
Math,0849F1,Algebra 1,R,9,2260289
Math,0849F2,Algebra 1,R,9,2260289
Math,0849D1,Algebra 1,R,9,2260290
Math,0849D2,Algebra 1,R,9,2260290
Math,0861D1,Adv Algebra (2 hr),R,11,2240334
Math,0861D2,Adv Algebra (2 hr),R,11,2240334
Math,0849D1,Algebra 1,R,9,2260291
Math,0849D2,Algebra 1,R,9,2260291
Math,0849F1,Algebra 1,R,9,2260292
Math,0849F2,Algebra 1,R,9,2260292
Math,0858F1,Algebra 1 Hon,R,9,2260293
Math,0858F2,Algebra 1 Hon,R,9,2260293
Math,0879F1,Geometry Hon,R,9,2260294
Math,0879F2,Geometry Hon,R,9,2260294
Math,0861D1,Adv Algebra (2 hr),R,11,2240338
Math,0861D2,Adv Algebra (2 hr),R,11,2240338
Math,0849D1,Algebra 1,R,9,2260296
Math,0849D2,Algebra 1,R,9,2260296
Math,0873D1,Geometry (2 hr),R,11,2240992
Math,0873D2,Geometry (2 hr),R,11,2240992
Math,0849F1,Algebra 1,R,9,2260298
Math,0849F2,Algebra 1,R,9,2260298
Math,0873D1,Geometry (2 hr),R,11,2240341
Math,0873D2,Geometry (2 hr),R,11,2240341
Math,0849D1,Algebra 1,R,9,2260966
Math,0849D2,Algebra 1,R,9,2260966
Math,0858F1,Algebra 1 Hon,R,9,2260860
Math,0858F2,Algebra 1 Hon,R,9,2260860
Math,0861D1,Adv Algebra (2 hr),R,12,2230307
Math,0861D2,Adv Algebra (2 hr),R,12,2230307
Math,0849D1,Algebra 1,E,9,2260299
Math,0849D2,Algebra 1,E,9,2260299
Math,0873D1,Geometry (2 hr),R,11,2240344
Math,0873D2,Geometry (2 hr),R,11,2240344
Math,0873D1,Geometry (2 hr),R,10,2250324
Math,0873D2,Geometry (2 hr),R,10,2250324
Math,0858F1,Algebra 1 Hon,R,9,2260300
Math,0858F2,Algebra 1 Hon,R,9,2260300
Math,0858F1,Algebra 1 Hon,R,9,2260301
Math,0858F2,Algebra 1 Hon,R,9,2260301
Math,0849F1,Algebra 1,R,9,2260302
Math,0849F2,Algebra 1,R,9,2260302
Math,0861D1,Adv Algebra (2 hr),R,12,2230675
Math,0873D1,Geometry (2 hr),R,10,2250329
Math,0873D2,Geometry (2 hr),R,10,2250329
Math,0849F1,Algebra 1,R,9,2260304
Math,0849F2,Algebra 1,R,9,2260304
Math,0858F1,Algebra 1 Hon,R,9,2260304
Math,0858F2,Algebra 1 Hon,R,9,2260304
Math,0861D1,Adv Algebra (2 hr),R,12,2230315
Math,0861D2,Adv Algebra (2 hr),R,12,2230315
Math,0849D1,Algebra 1,R,9,2260305
Math,0849D2,Algebra 1,R,9,2260305
Math,0849D1,Algebra 1,R,9,2260306
Math,0849D2,Algebra 1,R,9,2260306
Math,0849F1,Algebra 1,R,9,2260307
Math,0849F2,Algebra 1,R,9,2260307
Math,0849F1,Algebra 1,R,9,2260308
Math,0849F2,Algebra 1,R,9,2260308
Math,0849D1,Algebra 1,R,9,2260309
Math,0849D2,Algebra 1,R,9,2260309
Math,0873D1,Geometry (2 hr),R,10,2250351
Math,0873D2,Geometry (2 hr),R,10,2250351
Math,0873D1,Geometry (2 hr),R,10,2250336
Math,0873D2,Geometry (2 hr),R,10,2250336
Math,0849F1,Algebra 1,R,9,2260310
Math,0849F2,Algebra 1,R,9,2260310
Math,0849D1,Algebra 1,R,9,2260311
Math,0849D2,Algebra 1,R,9,2260311
Math,0861D1,Adv Algebra (2 hr),R,12,2230335
Math,0861D2,Adv Algebra (2 hr),R,12,2230335
Math,0849D1,Algebra 1,R,9,2260313
Math,0849D2,Algebra 1,R,9,2260313
Math,0849D1,Algebra 1,R,9,2260315
Math,0849D2,Algebra 1,R,9,2260315
Math,0849D1,Algebra 1,R,9,2260316
Math,0849D2,Algebra 1,R,9,2260316
Math,0849F1,Algebra 1,R,9,2260318
Math,0849F2,Algebra 1,R,9,2260318
Math,0858F1,Algebra 1 Hon,R,9,2260319
Math,0858F2,Algebra 1 Hon,R,9,2260319
Math,0849D1,Algebra 1,R,9,2260320
Math,0849D2,Algebra 1,R,9,2260320
Math,0849F1,Algebra 1,R,9,2260321
Math,0849F2,Algebra 1,R,9,2260321
Math,0849F1,Algebra 1,R,9,4260865
Math,0849F2,Algebra 1,R,9,4260865
Math,0849D1,Algebra 1,E,9,2260322
Math,0849D2,Algebra 1,E,9,2260322
Math,0849D1,Algebra 1,R,9,2260314
Math,0849D2,Algebra 1,R,9,2260314
Math,0858F1,Algebra 1 Hon,R,9,2260323
Math,0858F2,Algebra 1 Hon,R,9,2260323
Math,0858F1,Algebra 1 Hon,R,9,2260312
Math,0858F2,Algebra 1 Hon,R,9,2260312
Math,0873D1,Geometry (2 hr),R,11,2240356
Math,0873D2,Geometry (2 hr),R,11,2240356
Math,0849F1,Algebra 1,R,9,2260915
Math,0849F2,Algebra 1,R,9,2260915
Math,0873D1,Geometry (2 hr),R,10,2250344
Math,0873D2,Geometry (2 hr),R,10,2250344
Math,0858F1,Algebra 1 Hon,R,9,2260324
Math,0858F2,Algebra 1 Hon,R,9,2260324
Math,0873D1,Geometry (2 hr),R,10,2250352
Math,0873D2,Geometry (2 hr),R,10,2250352
Math,0849D1,Algebra 1,E,9,2260325
Math,0873D1,Geometry (2 hr),R,10,4250313
Math,0873D2,Geometry (2 hr),R,10,4250313
Math,0849D1,Algebra 1,R,9,2260252
Math,0849D2,Algebra 1,R,9,2260252
Math,0861D1,Adv Algebra (2 hr),R,11,2240952
Math,0861D2,Adv Algebra (2 hr),R,11,2240952
Math,0849D1,Algebra 1,E,9,2260813
Math,0849D2,Algebra 1,E,9,2260813
Math,0849F1,Algebra 1,E,10,2250357
Math,0849F2,Algebra 1,E,10,2250357
Math,0849F1,Algebra 1,R,9,2260329
Math,0849F2,Algebra 1,R,9,2260329
Math,0849F1,Algebra 1,R,10,2251042
Math,0849F2,Algebra 1,R,9,2260985
Math,0849F1,Algebra 1,R,9,2260331
Math,0849F2,Algebra 1,R,9,2260331
Math,0849F1,Algebra 1,R,9,2260332
Math,0849F2,Algebra 1,R,9,2260332
Math,0849F1,Algebra 1,R,9,2260333
Math,0849F2,Algebra 1,R,9,2260333
Math,0873D1,Geometry (2 hr),R,11,2240373
Math,0873D2,Geometry (2 hr),R,11,2240373
Math,0873D1,Geometry (2 hr),R,10,2250361
Math,0873D2,Geometry (2 hr),R,10,2250361
Math,0849F1,Algebra 1,R,9,2260334
Math,0849F2,Algebra 1,R,9,2260334
Math,0858F1,Algebra 1 Hon,R,9,4260355
Math,0858F2,Algebra 1 Hon,R,9,4260355
Math,0861D1,Adv Algebra (2 hr),R,11,2241013
Math,0861D2,Adv Algebra (2 hr),R,11,2241013
Math,0849F1,Algebra 1,R,9,2260336
Math,0849F2,Algebra 1,R,9,2260336
Math,0849D1,Algebra 1,R,9,2260339
Math,0849D2,Algebra 1,R,9,2260339
Math,0849F1,Algebra 1,R,9,2260340
Math,0849F2,Algebra 1,R,9,2260340
Math,0858F1,Algebra 1 Hon,R,9,2260340
Math,0858F2,Algebra 1 Hon,R,9,2260340
Math,0849F1,Algebra 1,R,9,2260341
Math,0849F2,Algebra 1,R,9,2260341
Math,0849F1,Algebra 1,R,9,2260342
Math,0849F2,Algebra 1,R,9,2260342
Math,0849F2,Algebra 1,E,10,2250363
Math,0849D1,Algebra 1,R,9,2260344
Math,0849D2,Algebra 1,R,9,2260344
Math,0849F1,Algebra 1,R,9,2260345
Math,0849F2,Algebra 1,R,9,2260345
Math,0861D1,Adv Algebra (2 hr),R,12,2230361
Math,0861D2,Adv Algebra (2 hr),R,12,2230361
Math,0861D1,Adv Algebra (2 hr),R,12,2230914
Math,0861D2,Adv Algebra (2 hr),R,12,2230914
Math,0861D1,Adv Algebra (2 hr),R,11,2240383
Math,0861D2,Adv Algebra (2 hr),R,11,2240383
Math,0849F1,Algebra 1,R,9,2260348
Math,0849F2,Algebra 1,R,9,2260348
Math,0858F1,Algebra 1 Hon,R,9,2260349
Math,0858F2,Algebra 1 Hon,R,9,2260349
Math,0849F1,Algebra 1,R,9,2260335
Math,0849F2,Algebra 1,R,9,2260335
Math,0873D1,Geometry (2 hr),R,10,4250337
Math,0873D2,Geometry (2 hr),R,10,4250337
Math,0849F1,Algebra 1,R,9,2260343
Math,0849F2,Algebra 1,R,9,2260343
Math,0849D1,Algebra 1,R,9,2260347
Math,0849D2,Algebra 1,R,9,2260347
Math,0849F1,Algebra 1,R,9,2260350
Math,0849F2,Algebra 1,R,9,2260350
Math,0849D1,Algebra 1,R,9,2260351
Math,0849D2,Algebra 1,R,9,2260351
Math,0849D1,Algebra 1,E,9,2260891
Math,0849D2,Algebra 1,E,9,2260891
